windowSize,testMuMetric1_gA_1CC,testMuMetric2_gA_gU_1CC
0.5,48.6738017682643,50.3489995346673
1,47.6078799249531,49.671669793621
1.5,46.7994310099573,51.6358463726885
2,47.131931166348,51.7208413001912
2.5,48.2466747279323,52.4788391777509
3,49.7810218978102,52.2627737226277
3.5,49.6551724137931,52.4137931034483
4,49.7017892644135,52.0874751491054
4.5,49.2063492063492,48.7528344671202
5,49.1094147582697,52.1628498727735
5.5,52.8248587570621,55.9322033898305
6,46.749226006192,50.7739938080495
6.5,52.7210884353742,53.7414965986395
7,53.1365313653137,50.9225092250922
7.5,54.4,50.4
8,51.0917030567686,53.2751091703057
8.5,55.3488372093023,50.6976744186047
9,58.7064676616915,52.7363184079602
9.5,60.6382978723404,55.3191489361702
10,54.8571428571429,53.7142857142857
10.5,54.7619047619048,53.5714285714286
11,58.3333333333333,54.4871794871795
11.5,57.8231292517007,59.1836734693878
12,57.0422535211268,55.6338028169014
12.5,56.7164179104478,58.955223880597
13,59.8425196850394,56.6929133858268
13.5,55.8333333333333,55
14,58.2608695652174,59.1304347826087
14.5,63.8888888888889,60.1851851851852
15,62.2641509433962,60.377358490566
15.5,60.3960396039604,60.3960396039604
16,60.6382978723404,58.5106382978723
16.5,62.2222222222222,64.4444444444444
17,65.8823529411765,65.8823529411765
17.5,62.1951219512195,67.0731707317073
18,64.1975308641975,66.6666666666667
18.5,63.75,65
19,66.6666666666667,65.3846153846154
19.5,68.4931506849315,65.7534246575342
20,65.6716417910448,62.6865671641791
20.5,62.5,64.0625
21,63.9344262295082,65.5737704918033
21.5,66.0714285714286,71.4285714285714
22,68.5185185185185,72.2222222222222
22.5,68.5185185185185,70.3703703703704
23,68.5185185185185,72.2222222222222
23.5,70.3703703703704,70.3703703703704
24,70.3703703703704,70.3703703703704
24.5,71.6981132075472,69.811320754717
25,69.2307692307692,73.0769230769231
25.5,65.3061224489796,71.4285714285714
26,65.2173913043478,69.5652173913043
26.5,70.7317073170732,65.8536585365854
27,71.7948717948718,66.6666666666667
27.5,75,66.6666666666667
28,73.5294117647059,67.6470588235294
28.5,72.4137931034483,68.9655172413793
29,71.4285714285714,67.8571428571429
29.5,70.3703703703704,66.6666666666667
30,70.3703703703704,66.6666666666667
30.5,70.3703703703704,66.6666666666667
31,62.962962962963,66.6666666666667
31.5,62.962962962963,66.6666666666667
32,66.6666666666667,66.6666666666667
32.5,70.3703703703704,66.6666666666667
33,81.4814814814815,66.6666666666667
33.5,81.4814814814815,77.7777777777778
34,77.7777777777778,77.7777777777778
34.5,81.4814814814815,74.0740740740741
35,81.4814814814815,74.0740740740741
35.5,81.4814814814815,74.0740740740741
36,77.7777777777778,74.0740740740741
36.5,76.9230769230769,73.0769230769231
37,76.9230769230769,73.0769230769231
37.5,76,76
38,75,75
38.5,71.4285714285714,71.4285714285714
39,68.4210526315789,68.4210526315789
39.5,70.5882352941177,64.7058823529412
40,69.2307692307692,53.8461538461538
